id,date,hour,lan,lon
AL021906,19060618,1800,32.4,-73.4
AL021906,19060619,0000,33.8,-72.3
AL021906,19060619,0600,35.1,-71.2
AL021906,19060619,1200,36.3,-69.5
AL021906,19060619,1800,36.7,-68.2
AL021906,19060620,0000,36.6,-67.2
AL021906,19060620,0600,36.3,-66.0
AL021906,19060620,1200,36.0,-65.0
AL021906,19060620,1800,35.7,-64.6
AL021906,19060621,0000,35.4,-64.1
AL021906,19060621,0600,35.1,-63.6
AL021906,19060621,1200,35.0,-63.0
AL021906,19060621,1800,35.2,-62.3
AL021906,19060622,0000,35.6,-61.6
AL021906,19060622,0600,35.8,-60.8
AL021906,19060622,1200,36.0,-60.0
AL021906,19060622,1800,36.3,-59.0
AL021906,19060623,0000,36.5,-57.8
AL021906,19060623,0600,36.8,-56.5
AL021906,19060623,1200,37.0,-55.1
AL021906,19060623,1800,37.3,-53.0
AL031906,19060822,0600,28.7,-53.1
AL031906,19060822,1200,29.0,-54.0
AL031906,19060822,1800,29.4,-54.8
AL031906,19060823,0000,29.9,-55.6
AL031906,19060823,0600,30.5,-56.5
AL031906,19060823,1200,31.3,-56.7
AL031906,19060823,1800,32.1,-56.4
AL031906,19060824,0000,32.6,-55.8
AL031906,19060824,0600,33.0,-55.1
AL031906,19060824,1200,33.8,-54.1
AL031906,19060824,1800,34.9,-52.8
AL031906,19060825,0000,36.4,-51.2
AL031906,19060825,0600,37.5,-49.7
AL031906,19060825,1200,39.0,-48.0
AL031906,19060825,1800,40.2,-46.3
AL041906,19060825,1200,14.0,-21.0
AL041906,19060825,1800,14.0,-22.5
AL041906,19060826,0000,14.0,-24.0
AL041906,19060826,0600,14.0,-25.5
AL041906,19060826,1200,14.0,-27.0
AL041906,19060826,1800,14.0,-28.5
AL041906,19060827,0000,14.0,-30.0
AL041906,19060827,0600,14.0,-31.5
AL041906,19060827,1200,14.0,-33.0
AL041906,19060827,1800,14.0,-34.6
AL041906,19060828,0000,13.9,-36.2
AL041906,19060828,0600,13.9,-37.8
AL041906,19060828,1200,13.8,-39.5
AL041906,19060828,1800,13.8,-41.2
AL041906,19060829,0000,13.7,-42.8
AL041906,19060829,0600,13.7,-44.4
AL041906,19060829,1200,13.6,-46.0
AL041906,19060829,1800,13.6,-47.7
AL041906,19060830,0000,13.6,-49.3
AL041906,19060830,0600,13.5,-50.9
AL041906,19060830,1200,13.5,-52.5
AL041906,19060830,1800,13.7,-54.0
AL041906,19060831,0000,14.1,-55.3
AL041906,19060831,0600,14.5,-56.5
AL041906,19060831,1200,15.0,-57.5
AL041906,19060831,1800,15.5,-58.3
AL041906,19060901,0000,16.0,-59.0
AL041906,19060901,0600,16.5,-60.0
AL041906,19060901,1200,17.0,-60.7
AL041906,19060901,1800,17.5,-61.4
AL041906,19060902,0000,18.0,-62.2
AL041906,19060902,0600,18.5,-63.1
AL041906,19060902,1200,19.0,-64.0
AL041906,19060902,1800,19.3,-64.7
AL041906,19060903,0000,19.6,-65.4
AL041906,19060903,0600,19.8,-66.0
AL041906,19060903,1200,20.0,-66.7
AL041906,19060903,1800,20.3,-67.6
AL041906,19060904,0000,20.6,-68.3
AL041906,19060904,0600,20.9,-69.0
AL041906,19060904,1200,21.3,-69.6
AL041906,19060904,1800,21.6,-70.2
AL041906,19060905,0000,22.1,-70.8
AL041906,19060905,0600,22.5,-71.4
AL041906,19060905,1200,23.1,-72.0
AL041906,19060905,1800,23.5,-72.7
AL041906,19060906,0000,23.9,-73.4
AL041906,19060906,0600,24.4,-74.0
AL041906,19060906,1200,25.0,-74.7
AL041906,19060906,1800,25.8,-75.6
AL041906,19060907,0000,26.8,-76.4
AL041906,19060907,0600,27.9,-76.6
AL041906,19060907,1200,29.0,-76.0
AL041906,19060907,1800,29.5,-74.8
AL041906,19060908,0000,29.8,-73.5
AL041906,19060908,0600,30.0,-72.1
AL041906,19060908,1200,30.3,-70.5
AL041906,19060908,1800,30.7,-69.3
AL041906,19060909,0000,31.3,-68.1
AL041906,19060909,0600,31.9,-66.9
AL041906,19060909,1200,32.5,-65.7
AL041906,19060909,1800,33.6,-64.3
AL041906,19060910,0000,34.7,-62.9
AL041906,19060910,0600,35.8,-61.4
AL041906,19060910,1200,37.0,-60.0
AL041906,19060910,1800,38.4,-56.9
AL041906,19060911,0000,40.0,-52.8
AL041906,19060911,0600,42.2,-48.8
AL041906,19060911,1200,45.0,-45.0
AL041906,19060911,1800,47.5,-40.4
AL041906,19060912,0000,49.5,-35.4
AL041906,19060912,0600,51.3,-30.3
AL041906,19060912,1200,53.0,-25.0
AL041906,19060912,1800,54.0,-20.3
AL051906,19060903,1200,10.2,-33.0
AL051906,19060903,1800,10.3,-33.7
AL051906,19060904,0000,10.3,-34.2
AL051906,19060904,0600,10.4,-34.9
AL051906,19060904,1200,10.5,-35.7
AL051906,19060904,1800,10.6,-36.6
AL051906,19060905,0000,10.9,-37.6
AL051906,19060905,0600,11.2,-38.5
AL051906,19060905,1200,11.6,-39.5
AL051906,19060905,1800,12.0,-40.5
AL051906,19060906,0000,12.4,-41.4
AL051906,19060906,0600,12.8,-42.3
AL051906,19060906,1200,13.2,-43.2
AL051906,19060906,1800,13.7,-44.2
AL051906,19060907,0000,14.1,-44.9
AL051906,19060907,0600,14.6,-45.6
AL051906,19060907,1200,15.1,-46.2
AL051906,19060907,1800,15.3,-46.6
AL051906,19060908,0000,15.5,-47.1
AL051906,19060908,0600,15.7,-47.5
AL051906,19060908,1200,16.0,-48.0
AL051906,19060908,1800,16.4,-48.4
AL051906,19060909,0000,16.9,-48.8
AL051906,19060909,0600,17.5,-49.1
AL051906,19060909,1200,18.0,-49.3
AL051906,19060909,1800,18.4,-49.6
AL051906,19060910,0000,18.8,-49.9
AL051906,19060910,0600,19.3,-50.3
AL051906,19060910,1200,19.7,-50.7
AL051906,19060910,1800,20.2,-51.3
AL051906,19060911,0000,20.6,-52.1
AL051906,19060911,0600,20.8,-53.0
AL051906,19060911,1200,21.0,-54.0
AL051906,19060911,1800,21.4,-55.3
AL051906,19060912,0000,21.8,-56.5
AL051906,19060912,0600,22.2,-57.7
AL051906,19060912,1200,22.7,-59.0
AL051906,19060912,1800,23.0,-60.2
AL051906,19060913,0000,23.2,-61.2
AL051906,19060913,0600,23.6,-62.3
AL051906,19060913,1200,24.3,-63.3
AL051906,19060913,1800,25.3,-64.1
AL051906,19060914,0000,26.6,-64.7
AL051906,19060914,0600,27.9,-65.5
AL051906,19060914,1200,29.0,-66.3
AL051906,19060914,1800,29.5,-66.7
AL051906,19060915,0000,29.9,-67.1
AL051906,19060915,0600,30.2,-67.5
AL051906,19060915,1200,30.5,-68.0
AL051906,19060915,1800,30.9,-68.5
AL051906,19060916,0000,31.2,-69.0
AL051906,19060916,0600,31.5,-69.7
AL051906,19060916,1200,31.7,-70.7
AL051906,19060916,1800,32.0,-72.0
AL051906,19060917,0000,32.0,-73.4
AL051906,19060917,0600,32.1,-75.1
AL051906,19060917,1200,32.3,-76.7
AL051906,19060917,1800,32.9,-78.2
AL051906,19060917,2200,33.3,-79.2
AL051906,19060918,0000,33.5,-79.8
AL051906,19060918,0600,34.3,-81.5
AL051906,19060918,1200,35.0,-83.0
AL051906,19060918,1800,35.5,-84.5
AL061906,19060919,1200,12.0,-77.0
AL061906,19060919,1800,12.1,-77.5
AL061906,19060920,0000,12.2,-77.9
AL061906,19060920,0600,12.3,-78.3
AL061906,19060920,1200,12.5,-78.7
AL061906,19060920,1800,12.8,-79.2
AL061906,19060921,0000,13.2,-79.7
AL061906,19060921,0600,13.6,-80.1
AL061906,19060921,1200,14.0,-80.5
AL061906,19060921,1800,14.6,-80.9
AL061906,19060922,0000,15.2,-81.3
AL061906,19060922,0600,15.8,-81.8
